token	tag	lemma
prihodnjih	mte:Agpmpl	prihodnji
mesecih	mte:Ncmpl	mesec
propadlo	mte:Vmep-sn	propasti
več	mte:Rgc	več
sto	mte:Mlc-pa	sto
,	mte:Z	,
je	mte:Va-r3s-n	biti
sklenil	mte:Vmep-sm	skleniti
Požar	mte:Ncmsnn	požar
.	mte:Z	.
Med	mte:Si	med
drugimi	mte:Mlpmpi	drug
predlogi	mte:Ncmpi	predlog
za	mte:Sa	za
izboljšanje	mte:Ncnsa	izboljšanje
stanja	mte:Ncnsg	stanje
je	mte:Va-r3s-n	biti
Požar	mte:Ncmsn	požar
navedel	mte:Vmep-sm	navesti
začasno	mte:Agpfsa	začasen
ukinitev	mte:Ncfsa	ukinitev
davka	mte:Ncmsg	davek
na	mte:Sa	na
dobiček	mte:Ncmsan	dobiček
za	mte:Sa	za
podizvajalce	mte:Ncmpa	podizvajalec
in	mte:Cc	in
dobavitelje	mte:Ncmpa	dobavitelj
ter	mte:Cc	ter
delno	mte:Agpfsa	delno
ukinitev	mte:Ncfsa	ukinitev
obdavčitve	mte:Ncfsg	obdavčitev
plač	mte:Ncfpg	plača
za	mte:Sa	za
neodpuščene	mte:Agpmpa	neodpuščen
delavce	mte:Ncmpa	delavec
.	mte:Z	.
Zapleti	mte:Ncmpn	zaplet
se	mte:Px------y	se
porajajo	mte:Vmpr3p	porajati
tudi	mte:Q	tudi
pri	mte:Sl	pri
urejanju	mte:Ncnsl	urejanje
zakonodaje	mte:Ncfsg	zakonodaja
na	mte:Sl	na
področju	mte:Ncnsl	področje
dela	mte:Ncnsg	delo
.	mte:Z	.
Znano	mte:Appnsn	znan
je	mte:Va-r3s-n	biti
,	mte:Z	,
da	mte:Cs	da
je	mte:Va-r3s-n	biti
pet	mte:Mlc-pa	pet
združenj	mte:Ncnpg	združenje
delodajalcev	mte:Ncmpg	delodajalec
zavrnilo	mte:Vmep-sn	zavrniti
sodelovanje	mte:Ncnsa	sodelovanje
na	mte:Sl	na
sestanku	mte:Ncmsl	sestanek
z	mte:Si	z
ministrstvom	mte:Ncnsi	ministrstvo
,	mte:Z	,
kjer	mte:Cs	kjer
bi	mte:Va-c	biti
obravnavali	mte:Vmpp-pm	obravnavati
spremembe	mte:Ncfpa	sprememba
zakona	mte:Ncmsg	zakon
o	mte:Sl	o
delovnih	mte:Agpnpl	deloven
razmerjih	mte:Ncnpl	razmerje
.	mte:Z	.
Podobno	mte:Rgp	podobno
je	mte:Va-r3s-n	biti
storila	mte:Vmep-sf	storiti
tudi	mte:Q	tudi
sindikalna	mte:Agpfsn	sindikalen
stran	mte:Ncfsn	stran
s	mte:Si	z
Pergamom	mte:Npmsi	Pergam
in	mte:Cc	in
ZSSS	mte:Npmsn	ZSSS
-	mte:Z	-
jem	mte:Ncmsi	jem
na	mte:Sl	na
čelu	mte:Ncnsl	čelo
,	mte:Z	,
zato	mte:Cc	zato
so	mte:Va-r3p-n	biti
sestanek	mte:Ncmsan	sestanek
odpovedali	mte:Vmep-pm	odpovedati
